,Restaurant ID,Restaurant Name,City,Longitude,Latitude,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Votes,Cuisine 1_Afghani,Cuisine 1_American,Cuisine 1_Andhra,Cuisine 1_Arabian,Cuisine 1_Asian,Cuisine 1_Assamese,Cuisine 1_Awadhi,Cuisine 1_Bakery,Cuisine 1_Bengali,Cuisine 1_Beverages,Cuisine 1_Bihari,Cuisine 1_Biryani,Cuisine 1_British,Cuisine 1_Burger,Cuisine 1_Burmese,Cuisine 1_Cafe,Cuisine 1_Charcoal Grill,Cuisine 1_Chinese,Cuisine 1_Continental,Cuisine 1_Desserts,Cuisine 1_Drinks Only,Cuisine 1_European,Cuisine 1_Fast Food,Cuisine 1_Finger Food,Cuisine 1_French,Cuisine 1_Goan,Cuisine 1_Greek,Cuisine 1_Gujarati,Cuisine 1_Healthy Food,Cuisine 1_Hyderabadi,Cuisine 1_Ice Cream,Cuisine 1_Indian,Cuisine 1_Italian,Cuisine 1_Japanese,Cuisine 1_Juices,Cuisine 1_Kashmiri,Cuisine 1_Kerala,Cuisine 1_Korean,Cuisine 1_Lebanese,Cuisine 1_Lucknowi,Cuisine 1_Maharashtrian,Cuisine 1_Malaysian,Cuisine 1_Malwani,Cuisine 1_Mediterranean,Cuisine 1_Mexican,Cuisine 1_Middle Eastern,Cuisine 1_Mithai,Cuisine 1_Modern Indian,Cuisine 1_Mughlai,Cuisine 1_Naga,Cuisine 1_Nepalese,Cuisine 1_North Eastern,Cuisine 1_North Indian,Cuisine 1_Oriya,Cuisine 1_Parsi,Cuisine 1_Persian,Cuisine 1_Pizza,Cuisine 1_Portuguese,Cuisine 1_Rajasthani,Cuisine 1_Raw Meats,Cuisine 1_Salad,Cuisine 1_Seafood,Cuisine 1_South American,Cuisine 1_South Indian,Cuisine 1_Spanish,Cuisine 1_Steak,Cuisine 1_Street Food,Cuisine 1_Sushi,Cuisine 1_Tea,Cuisine 1_Tex-Mex,Cuisine 1_Thai,Cuisine 1_Tibetan,Cuisine 1_Turkish,Cuisine 1_Vietnamese,Rating text,Aggregate rating
27,18438944,Blue -  Rooftop Cafe Restaurant Bistro,Ahmedabad,72.55703740000001,23.0290619,1000,0,1,0,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.8
28,110436,MoMo Cafí© - Courtyard By Marriott,Ahmedabad,72.51158149999999,23.027929,1400,0,0,0,3,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.6
29,18385201,Cryo Lab,Ahmedabad,72.55998429,23.02874796,350,0,0,0,2,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.6
30,110395,Swati Snacks,Ahmedabad,72.55903311,23.02443364,450,0,0,0,2,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.4
31,18335583,Brick Kitchen,Ahmedabad,72.5316389,23.0643038,900,0,0,0,3,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.3
32,110237,Kabir Restaurant,Ahmedabad,72.52396490000001,23.04850469,600,0,1,0,2,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.8
33,113537,Puffizza,Ahmedabad,72.53774978,23.04619268,700,0,1,0,2,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.3
34,113703,Cafe Alfresco,Ahmedabad,72.5498285,23.0437235,700,0,1,0,2,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.0
35,18385186,The Cafe Baraco,Ahmedabad,72.5504755,23.0443367,600,0,1,0,2,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.4
36,113325,Nini's Kitchen,Ahmedabad,72.5072645,23.0117723,950,0,1,0,3,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.5
